name,address,website,phone_number,reviews_count,reviews_average,store_shopping,in_store_pickup,store_delivery,place_type,opens_at,introduction,whatsapp_number
J&J Pneus,"R. Sérgio Pôrto, 68 - Remédios, Osasco - SP, 06296-240",,(11) 97326-3745,,,No,No,No,Comércio de Pneu, · Abre seg. às 08:00,None Found,5511973263745
Auto Center Lopes - Centro Automotivo em Osasco. Mecânica em Osasco.,"R. Pedro Fioretti, 546 - Centro, Osasco - SP, 06013-070",autocenterlopes.com.br,(11) 3689-6000,,4.4,No,No,No,Oficina mecânica, · 14:00 · Abre seg. às 08:00,None Found,551136896000
A.M. Diesel,"R. Luísa Cotine - Remédios, Osasco - SP, 06296-170",,(11) 98603-0131,,5.0,No,No,No,Mecânico, · Abre seg. às 08:00,None Found,5511986030131
Focar Auto Center Oficina Mecânica Especializada em Nacionais e Importados,"Av. São José, 1194 - Ayrosa, Osasco - SP, 06283-125",focarauto.com.br,(11) 95354-3705,,4.7,No,No,No,Oficina mecânica, · Abre seg. às 08:00,None Found,5511953543705
Auto Center MS,"Av. dos Autonomistas, 5644 - Km 18, Osasco - SP, 06194-060",,(11) 4384-3374,,4.4,No,No,No,Oficina mecânica, · Fecha 16:00,None Found,551143843374
Valdir Almeida dos Santos Peças,"R. Sérgio Pôrto, 68 - Vila dos Remedios, Osasco - SP, 06296-240",,(11) 3656-3905,,3.0,No,No,No,Loja de autopeças, · Abre seg. às 08:30,None Found,551136563905
Pacheco Pecas,"R. José Teixeira de Barros, 66 - Remédios, Osasco - SP, 06298-150",,(11) 3687-9536,,5.0,No,No,No,Loja de autopeças, · Abre seg. às 08:00,None Found,551136879536
Streetline Motors,"Av. dos Autonomistas, 5763 - Centro, Osasco - SP, 06194-050",streetlinemotors.com.br,(11) 94867-8555,,4.7,No,No,No,Mecânica para carros, · 14:00 · Abre seg. às 08:00,None Found,5511948678555
Mave Auto Center,"Av. Sport Club Corinthians Paulista, 278 - Km 18, Osasco - SP, 06132-380",,(11) 94000-4918,,4.3,No,No,No,Oficina mecânica,Fecha em breve · 14:00 · Abre seg. às 08:00,None Found,5511940004918
Esquina desmonte de ônibus e caminhões,"R. Leão XIII, 159 - Remédios, Osasco - SP, 06296-180",,(11) 99571-0310,,,No,No,No,Loja de autopeças, · Abre seg. às 08:00,None Found,5511995710310
Rede Top Oficina Automotiva,"R. São Maurício, 89 - Km 18, Osasco - SP, 06110-250",redetopoficina.com.br,(11) 4557-7340,,4.7,No,No,No,Oficina mecânica, · Abre seg. às 08:00,None Found,551145577340
4H Oficina Especializada,"Av. Visc. de Nova Granada, 2005 - Vila Osasco, Osasco - SP, 06080-125",oficina4h.com.br,(11) 3682-2227,,4.4,No,No,No,Oficina mecânica, · 14:00 · Abre seg. às 08:00,None Found,551136822227
Nova Multivans 2,"R. Leão XIII, 121 - Remédios, Osasco - SP, 06296-180",,(11) 4558-6447,,,No,No,No,Loja de peças automotivas usadas, · Abre seg. às 08:00,None Found,551145586447
